Valori nutrizionali,per porzione,% RDA
Valore calorico,196 kcal 820 kJ,"9,8 %"
Grassi,"10,0 g","15,4 %"
Grassi saturi,"3,0 g","13,6 %"
Grassi monoinsaturi,"2,1 g","7,2 %"
Grassi polinsaturi,"4,4 g","29,4 %"
Carboidrati,"21,5 g","8,0 %"
Zuccheri,"1,0 g","2,0 %"
Proteine,"5,0 g","6,9 %"
Fibre alimentari,"1,0 g","0,3 %"
Colesterolo,"4,8 mg","16,0 %"
Sodio,"0,4 g","< 0,1 %"
Acqua,"10,1 g","0,5 %"
