Valori nutrizionali,per porzione,% RDA
Valore calorico,126 kcal 528 kJ,"6,3 %"
Grassi,"1,6 g","2,4 %"
Grassi saturi,"0,3 g","1,5 %"
Grassi monoinsaturi,"0,5 g","1,7 %"
Grassi polinsaturi,"0,4 g","2,8 %"
Carboidrati,"22,5 g","8,4 %"
Zuccheri,"4,1 g","8,1 %"
Proteine,"5,7 g","7,7 %"
Fibre alimentari,"0,7 g","0,2 %"
Colesterolo,"16,0 mg","53,3 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"69,1 g","3,5 %"
