Minerali,per porzione,% RDA
Calcio,"19,9 mg","2,0 %"
Rame,"< 0,1 mg","3,1 %"
Ferro,"1,3 mg","8,8 %"
Magnesio,"11,4 mg","3,8 %"
Manganese,"< 0,1 mg","0,4 %"
Fosforo,"115,0 mg","16,4 %"
Potassio,"86,6 mg","4,3 %"
Selenio,"< 0,1 mg","90,9 %"
Zinco,"1,0 mg","14,2 %"
