Minerali,per porzione,% RDA
Calcio,"0,0 mg","0,0 %"
Rame,"< 0,1 mg","8,7 %"
Ferro,"7,0 mg","46,6 %"
Magnesio,"9,9 mg","3,3 %"
Manganese,"0,3 mg","15,9 %"
Fosforo,"17,8 mg","2,5 %"
Potassio,"33,7 mg","1,7 %"
Selenio,"< 0,1 mg","5,9 %"
Zinco,"0,2 mg","3,1 %"
