Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (125 g),Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"0,1 g","0,125 g","-96%2,69 g","-99%11,9 g","-99%11,9 g","-99%15,4 g"
- Acidi Grassi saturi,"0,04 g","0,05 g","-98%1,75 g","-99%7,9 g","-99%7,9 g","-100%9,61 g"
Carboidrati,"8,7 g","10,9 g","-29%12,3 g","+22%7,16 g","+22%7,16 g","+43%6,1 g"
- Zuccheri,7 g,"8,75 g","-39%11,4 g","+14%6,16 g","+14%6,16 g","+29%5,42 g"
Fibra alimentare,"0,5 g","0,625 g","+82%0,275 g","+144%0,205 g","+144%0,205 g","+276%0,133 g"
Proteine,"4,3 g","5,38 g","+11%3,88 g",-57%10 g,-57%10 g,"-46%7,89 g"
Sale,"0,18 g","0,225 g","+59%0,113 g","-66%0,529 g","-66%0,529 g","-56%0,405 g"
Sodio,"0,071 g","0,089 g","+59%0,044 g","-66%0,208 g","-66%0,208 g","-56%0,159 g"
Calcio,152 mg,190 mg,?,-59%374 mg,-59%374 mg,-43%268 mg
Nutrition score - France,-1,-1,"-147%2,11","-116%6,32","-116%6,32","-117%5,86"
Nutri-Score,A,A,C,C,C,C
