Valori nutrizionali,per porzione,% RDA
Valore calorico,155 kcal 651 kJ,"7,8 %"
Grassi,"8,5 g","13,1 %"
Grassi saturi,"1,1 g","4,9 %"
Grassi monoinsaturi,"2,4 g","8,2 %"
Grassi polinsaturi,"4,2 g","28,0 %"
Carboidrati,"18,9 g","7,1 %"
Zuccheri,"0,3 g","0,7 %"
Proteine,"1,8 g","2,5 %"
Fibre alimentari,"1,6 g","0,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,2 g","< 0,1 %"
Acqua,"< 0,1 g","< 0,1 %"
