Valori nutrizionali,per porzione,% RDA
Valore calorico,574 kcal 2.403 kJ,"28,7 %"
Grassi,"17,2 g","26,5 %"
Grassi saturi,"6,9 g","31,3 %"
Grassi monoinsaturi,"6,4 g","22,1 %"
Grassi polinsaturi,"1,3 g","8,5 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"98,4 g","134,7 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"364,5 mg","1.214,9 %"
Sodio,"0,2 g","< 0,1 %"
Acqua,"150,9 g","7,5 %"
