Valori nutrizionali,per porzione,% RDA
Valore calorico,158 kcal 661 kJ,"7,9 %"
Grassi,"10,0 g","15,4 %"
Grassi saturi,"2,8 g","12,7 %"
Grassi monoinsaturi,"4,0 g","13,7 %"
Grassi polinsaturi,"2,2 g","14,7 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"15,8 g","21,7 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"57,1 mg","190,4 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"42,9 g","2,1 %"
