Valori nutrizionali,per porzione,% RDA
Valore calorico,436 kcal 1.827 kJ,"21,8 %"
Grassi,"25,3 g","39,0 %"
Grassi saturi,"8,5 g","38,8 %"
Grassi monoinsaturi,"11,7 g","40,2 %"
Grassi polinsaturi,"2,8 g","18,6 %"
Carboidrati,"35,4 g","13,2 %"
Zuccheri,"2,5 g","5,0 %"
Proteine,"17,4 g","23,9 %"
Fibre alimentari,"0,3 g","< 0,1 %"
Colesterolo,"240,7 mg","802,3 %"
Sodio,"1,2 g","0,2 %"
Acqua,"62,3 g","3,1 %"
