Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","24,0 %"
Vitamina B11,"0,3 mg","69,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","10,5 %"
Vitamina B3,"1,6 mg","10,3 %"
Vitamina B5,"1,0 mg","16,5 %"
Vitamina B6,"0,2 mg","15,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
