Valori nutrizionali,per porzione,% RDA
Valore calorico,46 kcal 193 kJ,"2,3 %"
Grassi,"1,7 g","2,6 %"
Grassi saturi,"1,1 g","4,8 %"
Carboidrati,"5,9 g","2,2 %"
Zuccheri,"5,6 g","11,2 %"
Proteine,"1,7 g","2,3 %"
Sale,"0,1 g","1,7 %"
Fibre alimentari,"0,3 g","0,1 %"
