,0,1
0,UOVO DI ANATRA INTERO,
1,,
2,UOVO DI GALLINA INTERO,
3,,TUORLO D'UOVO
4,,ALBUME D'UOVO
5,,UOVO IN POLVERE
6,,UOVO SODO
7,,
8,UOVO DI OCA INTERO,
9,,
10,UOVA DI TACCHINA,
