Informazioni nutrizionali,Preparatoper 100 g / 100 ml,Preparatoper porzione (136 g),Sugared beverages,Cioccolato,Breakfasts,Bevande,Sugary snacks
Grassi,"1,9 g","2,58 g","0,593 g","42,1 g","12,1 g","0,527 g","22,3 g"
- Acidi Grassi saturi,"1,2 g","1,63 g","0,14 g","25,3 g","3,43 g","0,118 g","10,9 g"
Carboidrati,19 g,"25,8 g",15 g,"35,6 g","60,7 g","9,03 g","58,8 g"
- Zuccheri,15 g,"20,4 g","13,2 g","30,9 g",42 g,"8,07 g","26,8 g"
Proteine,"4,3 g","5,85 g","1,23 g","8,65 g","5,47 g","0,745 g","7,15 g"
Sale,"0,18 g","0,245 g","0,059 g","0,086 g","0,292 g","0,136 g","0,472 g"
Sodio,"0,071 g","0,096 g","0,023 g","0,034 g","0,115 g","0,054 g","0,186 g"
Nutrition score - France,3,3,"-74%11,5","-86%21,3","-75%11,9","-57%6,99","-82%16,7"
Nutri-Score,C,C,E,E,E,D,E
