Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,0 g,"-100%6,24 g","-100%10,7 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,"-100%1,7 g","-100%2,36 g","-100%2,12 g"
Carboidrati,33 g,"-45%59,9 g","-31%47,6 g","-25%43,9 g"
- Zuccheri,"0,1 g","-98%6,61 g","-99%8,59 g","-99%8,81 g"
Proteine,"3,1 g","-67%9,48 g","-60%7,76 g",-56%7 g
Sale,"1,6 g","+119%0,729 g","+170%0,593 g","+200%0,533 g"
Sodio,"0,63 g","+119%0,287 g","+170%0,233 g","+200%0,21 g"
Nutrition score - France,6,"+96%3,06","+95%3,08","+55%3,87"
Nutri-Score,C,C,C,C
