,0,1,2,3
1,Proteine(%): 10.9,,,
2,Lisina:,219,2.01,
3,Istidina:,226,2.07,
4,Arginina:,395,3.62,
5,Acido aspartico:,509,4.67,
6,Treonina:,314,2.88,
7,Serina:,568,5.21,
8,Acido glutamico:,3512,32.22,
9,Prolina:,1189,10.91,
10,Glicina:,354,3.25,
11,Alanina:,359,3.29,
12,Cistina:,255,2.34,
13,Valina:,544,4.99,
14,Metionina:,183,1.68,
15,Isoleucina:,455,4.17,
16,Leucina:,834,7.65,
17,Tirosina:,310,2.84,
18,Fenilalanina:,542,4.97,
19,Triptofano:,105,0.96,
20,Indice Chimico:,35,,
21,Aminoacido limitante:,Lis.,,
