Valori nutrizionali,per porzione,% RDA
Valore calorico,222 kcal 929 kJ,"11,1 %"
Grassi,"14,4 g","22,1 %"
Grassi saturi,"3,1 g","14,3 %"
Grassi monoinsaturi,"4,9 g","16,9 %"
Grassi polinsaturi,"5,1 g","34,3 %"
Carboidrati,"6,4 g","2,4 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"16,7 g","22,9 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"88,3 mg","294,3 %"
Sodio,"0,5 g","< 0,1 %"
Acqua,"41,7 g","2,1 %"
