Minerali,per porzione,% RDA
Calcio,"91,5 mg","9,2 %"
Rame,"0,2 mg","17,7 %"
Ferro,"3,6 mg","23,7 %"
Magnesio,"45,8 mg","15,3 %"
Manganese,"0,8 mg","39,9 %"
Fosforo,"254,7 mg","36,4 %"
Potassio,"390,0 mg","19,5 %"
Selenio,"< 0,1 mg","155,2 %"
Zinco,"1,2 mg","17,6 %"
