,0,1,2,3
1,Proteine(%): 33,,,
2,Lisina:,2470,7.29,
3,Istidina:,920,2.71,
4,Arginina:,820,2.42,
5,Acido aspartico:,2170,6.4,
6,Treonina:,1100,3.24,
7,Serina:,1950,5.75,
8,Acido glutamico:,631,1.86,
9,Prolina:,3020,8.91,
10,Glicina:,640,1.89,
11,Alanina:,950,2.8,
12,Cistina:,200,0.59,
13,Valina:,1910,5.63,
14,Metionina:,960,2.83,
15,Isoleucina:,1390,4.1,
16,Leucina:,2820,8.32,
17,Tirosina:,2000,5.9,
18,Fenilalanina:,1740,5.13,
19,Triptofano:,310,0.91,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Trip.,,
