0,1
Grassi saturi totali,11.65
C4:0\÷C10:0 (laurico),1.61
C12:0 (laurico),0.51
C14:0 (miristico),1.84
C16:0 (palmitico),5.02
C18:0 (stearico),2.25
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,5.52
C14:1 (miristoleico),
C16:1 (palmitoleico),0.42
C18:1 (oleico),4.82
C20:1 (eicosaenoico),1.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,1.09
C18:2 W6 (linoleico),0.79
C18:3 W3 (linolenico),0.28
C20:4 W6 (arachidonico),0.06
C20:5 W3 (eicosapentaenoico - EPA),0.03
C22:6 W3 (docosaesaenoico - DHA),0.02
Rapporto Polinsaturi/Saturi,0.00
