,0,1,2,3
1,Proteine(%): 26.7,,,
2,Lisina:,2330,8.74,
3,Istidina:,989,3.71,
4,Arginina:,1608,6.03,
5,Acido aspartico:,2599,9.75,
6,Treonina:,1186,4.45,
7,Serina:,1114,4.18,
8,Acido glutamico:,4159,15.6,
9,Prolina:,1082,4.06,
10,Glicina:,1213,4.55,
11,Alanina:,1645,6.17,
12,Cistina:,301,1.13,
13,Valina:,1397,5.24,
14,Metionina:,706,2.65,
15,Isoleucina:,1320,4.95,
16,Leucina:,2245,8.42,
17,Tirosina:,1053,3.95,
18,Fenilalanina:,1157,4.34,
19,Triptofano:,291,1.09,
20,Indice Chimico:,99,,
21,Aminoacido limitante:,Trip.,,
