,0,1,2,3
1,Proteine(%): 3.9,,,
2,Lisina:,154,3.95,
3,Istidina:,78,2,
4,Arginina:,140,3.59,
5,Acido aspartico:,313,8.03,
6,Treonina:,181,4.64,
7,Serina:,187,4.79,
8,Acido glutamico:,417,10.69,
9,Prolina:,207,5.31,
10,Glicina:,259,6.64,
11,Alanina:,314,8.05,
12,Cistina:,51,1.31,
13,Valina:,143,3.67,
14,Metionina:,58,1.49,
15,Isoleucina:,109,2.79,
16,Leucina:,207,5.31,
17,Tirosina:,65,1.72,
18,Fenilalanina:,118,3.03,
19,Triptofano:,38,0.97,
20,Indice Chimico:,68,,
21,Aminoacido limitante:,Lis.,,
