,label,vitamin b2,vitamin b6,dietary fiber,proteins,total cobalamin,total ascorbic acid,carbohydrate,total aneurine,total vitamin e,lipid,total 12-octadecadienoic acid,starches,total sodium,potassium k,total vitamin d,water,total selenium,total sugars,total polyunsaturated lipids,folate,total cholesteryl alcohol,total zinc zn,total iodine i,total B-carotene,total calcium,vitamin a,total phosphorus p
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,0.0,2.4210856364598743,11708811820219.68,1.0591790773180995e+29,4329449.877132677,4.6226946587391704e+16,3.923642510709421e+33,10.947118816088114,464678.8448267919,1.4385037645045489e+27,37889.94988538403,1.0291805660978622e+23,9.05703239450572e+65,1.608089297322315e+64,4755.350466155186,5.16176866997778e+53,5.610568839030527e+27,3.2894648003126206e+19,20110862197.731503,4.599626785043398e+43,1.0703019398857974e+42,49776954.39859741,2.5797022101221036e+34,5.16176866997778e+53,9.649548803719021e+44,1.3010849227030178e+57,2.2302239205108868e+60
vitamin b6,,2.4210856364598743,0.0,512105068764950.2,8.026442482949406e+28,1801757069.4581707,1.1833681349856963e+17,3.853364968980449e+32,14.265926475156549,14414588.09049649,5.84774473501074e+27,2044543.1588350977,2.4855791673293238e+23,3.8830776408111e+63,4.112300984606253e+63,17183.34591397499,4.073246844890464e+51,1.8135362291878475e+26,2.2247479036574728e+18,528415743682.60376,6.386789829394633e+41,3.4136072371861017e+39,5095066409.540834,5.5624149191062764e+32,4.073246844890464e+51,1.2702607185083129e+43,5.266031426867174e+55,1.2520581015974633e+58
dietary fiber,,11708811820219.68,512105068764950.2,0.0,1056415771108.6077,147.7468744410997,54604.78561598913,2.428868402028988e+16,2.450378667931738e+16,1633.6040408833987,850748125823.374,25.30571453801429,187593529.37982288,3.7710670725336384e+60,2.9413423431017104e+60,20591.166826728186,7.315313490276663e+45,18820709461769.95,2836642.8471469637,3.3017218719936694,1.4805429697987651e+32,6.79395607410342e+24,482.81818030753624,2.0309956496651606e+20,1.3548048537749708e+42,4.160780339348736e+32,3.983221794111138e+50,2.3814678076703604e+51
proteins,,1.0591790773180995e+29,8.026442482949406e+28,1056415771108.6077,0.0,1.0537626182264898e+17,7491.609747345653,191.11528740546638,5.2143952714176566e+32,1.291500247840586e+18,1.6332949747393481,13168357449610.145,15.666920923605048,1.6281356808193835e+58,3.1337329729368384e+58,1.899814873340651e+20,8.48655025526447e+39,50.134949289593756,91.97692050596231,1370352617644.695,26983610987876.51,166055164.80832168,1.0799476153416786e+17,2051234.767598884,3.599131400198653e+32,1.2907801329950724e+16,3.8046547685174565e+36,4.7986608798750726e+42
total cobalamin,,4329449.877132677,1801757069.4581707,147.7468744410997,1.0537626182264898e+17,0.0,16205255.799455531,6.628620594897862e+22,1127734221.552554,1.1798969217507973,3.520466816311063e+16,1.0221652482549157,1085836548181.8981,7.9057540776769765e+62,7.46785698604928e+62,6.016157742178119,8.320026876265977e+49,1.7599986020692096e+18,37707342955.577484,4.166160531991453,3.3443873420030444e+37,1.6572956954618762e+31,64.09300991199814,1.0774143145750867e+25,1.7582575471587863e+46,3.0079662254689124e+39,1.4442496368576388e+54,3.768820461021554e+56
total ascorbic acid,,4.6226946587391704e+16,1.1833681349856963e+17,54604.78561598913,7491.609747345653,16205255.799455531,0.0,186043.9071429701,1.6256652060504637e+19,18278617.493842784,195.45172746564768,422073.14985299075,30.646852970471468,6.907840309469947e+52,3.8215242779506757e+53,3377317017.790449,2.7606515483994502e+35,4664.781034846459,3.9211894118775947,25758.034728869425,2.1493543269073367e+18,29199214151.541817,20544832.14068808,6447431085.610565,7.518842498041966e+31,1.4746220437250284e+18,2.3867876493486147e+38,7.772691335170364e+38
carbohydrate,,3.923642510709421e+33,3.853364968980449e+32,2.428868402028988e+16,191.11528740546638,6.628620594897862e+22,186043.9071429701,0.0,1.57020331524061e+35,6.568658511756456e+22,27.892726288517668,3.937265785671842e+17,125.43702843793093,2.4015204318020163e+44,9.460140024657202e+40,3.019832709282675e+26,2.2538919923921365e+22,9.876010217876162,592.416091805296,8.336423628746514e+17,211272.27156802674,89.62044892266188,1.8009231664181976e+22,27.053030790101392,3.012652243099183e+17,6288004.5361131,1.1877239358838258e+21,6.126446283613705e+24
total aneurine,,10.947118816088114,14.265926475156549,2.450378667931738e+16,5.2143952714176566e+32,1127734221.552554,1.6256652060504637e+19,1.57020331524061e+35,0.0,101855163.1202291,1.5051490570377796e+30,4166768.1149583617,1.8073954175740216e+26,1.2141170715691533e+63,3.532163948901429e+61,378167.86630087456,8.482562945311323e+52,6.990853601275901e+27,1.1393478860702314e+20,24021938642310.426,2.7748888502342742e+42,2.742211736550607e+41,58000076392.15489,1.2561126269302357e+34,1.426557563844228e+52,5.588896053666465e+43,7.895967515002173e+56,2.913488133909186e+58
total vitamin e,,464678.8448267919,14414588.09049649,1633.6040408833987,1.291500247840586e+18,1.1798969217507973,18278617.493842784,6.568658511756456e+22,101855163.1202291,0.0,1.6911728955009836e+16,1.2372523115314176,2907027084798.627,4.281196609636546e+64,2.1284515875739174e+64,1.410082460150914,6.774603037143536e+48,4.837943649292307e+18,14534353592.828478,21.975021694717995,3.3608768838757365e+36,4.612859066890513e+30,28.703321103603816,3.4297750921473655e+24,8.613249980374417e+45,1.3575213470737191e+39,6.624120088235107e+53,3.787187513400855e+55
