,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
label,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,7.843186184318659,1.5895080086553821e+28,2441603827230209.5,9.430336509576932,631457017736733.4,6.766168905736423e+40,1.6262672022776602e+18,1.1579960875458647e+52,17327283886196.043,24305.234095253116,3545121.017377931,1972579.4562278204,1653880941.3525105,110311.23620499753,2.604551590890076,1.7342860217542371e+50,4.218264630587689e+62,5.91499641141167e+51,3.5256320033262776e+50,16323794.31389237,4.2013310530623724e+39,5.675395094310728e+34,36443.76090348936,1.4381737177279745e+64,3.6047176693471493e+27,2.245496758829748e+27
vitamin b6,,76.28000238181403,6.672403097765748e+26,389725667679608.1,5.69504933260509,1115018150975197.8,1.3616051672275017e+39,5.955532170884344e+17,5.138578776390259e+50,139335357505902.34,92877.9412544237,518012138.46174794,584990588.951665,10903377532.7552,600131.7477056857,1.7273916937244205,1.2023398386826616e+49,1.175063615316163e+62,7.270939566689317e+49,2.3972158848398034e+49,223284364.44215065,9.519968533651329e+37,6.55606966941891e+33,5386.60304241205,3.759345826745438e+63,2.825659372261704e+26,1.910386574026703e+26
dietary fiber,,26692451830.808952,4084718945.5654397,303.9954551506738,5.001594482263871e+16,97.68680311160993,3.448129132748527e+25,27678.126611575168,6.048211856551055e+45,2.532744555141794,1978.1291295379224,303.5136633600032,5306.064615366205,4.10266083019597,444.184575331829,860629981.1176302,1.0333162031938877e+45,1.474101861406106e+63,3.244806219480669e+38,5.143057567929504e+40,3.5336909130769496,1.53594870154111e+25,13292946792936.77,5.8739690874279264e+19,7.993512439939788e+63,1244122720904966.2,422043150879.5987
proteins,,4.1201746606085466e+24,1.0995181950751018,2634.214128567965,2.3570590769135363e+29,23756.44058273362,1887205657.7273657,21.054475453181087,1.298890728476098e+41,1715159.560334582,3.2292444781757708e+16,1655403447808384.8,6.944859674596353e+18,14720962698013.938,26309774631642.645,1.8680465817844536e+18,1.847211752269265e+39,7.944564953813645e+64,1.4092504181750642e+34,2.474060537032523e+30,1258943630.940398,307024222175.6012,2.4990183875220766,2.5290708907183323e+33,9.058944827500771e+64,14247.672217795804,20.80878749368537
total cobalamin,,4157.295037900041,1564219439962007.8,540708.8351046426,1703424033.052053,69120.98503880487,1.9275910614453896e+32,62835561.757704765,6.116714110791359e+49,97.72397799249403,4.240832765751074,5.497356275061912,824.1488120968926,2.131462744625345,1.9845755122222977,41979.89143067858,9.166312910150713e+47,2.472018435776421e+64,4.87014844705524e+43,1.861940629787304e+46,3.519184950493002,1.9466848229504032e+31,6.581006905509997e+19,1739065377424.9922,2.5576095166010433e+64,5.0105881722261094e+19,3.86801120859215e+16
total ascorbic acid,,241192262864364.7,145.55710078568328,54.976945686703324,3.066842191506489e+16,14.603340846308468,120031703249802.36,3.9624411090200136,1.1685003598370079e+36,5080.152081382925,51273519.967091985,1313215.107671623,157980971.05894095,90622.70048584824,273482.3177444721,13734246510.583143,8.855805790312869e+34,1.4687034792887547e+62,4.069758290800815e+31,6.362672116622887e+28,1265.095089586183,2599810237012.681,19595.434693110932,1.3695521804768492e+19,2.3122790526430535e+59,1324500.0748814913,4261.362497269715
carbohydrate,,1.3939569035977192e+29,324.9275283911425,35986060.09588712,7.626103848771158e+31,637572190.5277301,3992.2239423822484,103614.87484152657,7.739436524148504e+30,12377035616.309761,8.256167406459334e+22,9.925577677091504e+18,1.0979168758814969e+23,2.2398806232178468e+18,3.0505502557445407e+18,3.062574391109331e+20,1.0491321834549977e+23,1.0030008303581094e+61,1.206460233096691e+20,1.6661838654702464e+16,3366891924083.5156,23421.97896501181,7.108744158014869,4.954830485337061e+35,1.5445735939786544e+57,2.335078643379158,1.6540228565516761
total aneurine,,185.35143247695402,2.6774690741742944e+29,7.549537969225958e+16,3.1535882395996695,3.312716231838288e+17,1.4749099768676033e+41,2.66023771984144e+19,1.0524792988075686e+50,601542866664992.5,223906.82688304994,1032705424.4387664,36964038776.58701,178006147642.35428,5928966.419078937,9.804719854211966,1.9696338358441335e+48,1.3503696125096237e+60,5.986487251689795e+49,3.8193290925159666e+48,820747907.8478246,3.931389660949411e+39,3.037815891964071e+36,16.78989632344902,3.475334433440357e+61,6.986637492263331e+28,5.99701644956056e+28
total vitamin e,,574.8144156909383,5361065174285438.0,10590257.86357902,398149868.3535512,2469139.8557947776,7.2693257207129695e+31,1112825555.0252502,2.3340048804940717e+49,1618.2096624720982,2.394602929882712,9.877765565194432,333.3901641347925,9.626592675688968,1.0118552664432146,17013.50266145215,1.4536327826776917e+47,1.5961372454414566e+66,1.9466742953089646e+43,8.737633322324798e+45,12.403601422413335,6.918821953318712e+30,3.3578840575354434e+21,47503091580.45742,8.318513858834322e+67,1.6833333749405653e+19,7.685541774058048e+16
