,0,1,2,3
1,Proteine(%): 24,,,
2,Lisina:,2254,9.39,
3,Istidina:,922,3.84,
4,Arginina:,1536,6.4,
5,Acido aspartico:,2417,10.07,
6,Treonina:,1202,5.01,
7,Serina:,1068,4.45,
8,Acido glutamico:,3511,14.63,
9,Prolina:,893,3.72,
10,Glicina:,1030,4.29,
11,Alanina:,1512,6.3,
12,Cistina:,283,1.18,
13,Valina:,1416,5.9,
14,Metionina:,698,2.91,
15,Isoleucina:,1210,5.04,
16,Leucina:,2002,8.34,
17,Tirosina:,814,3.39,
18,Fenilalanina:,970,4.04,
19,Triptofano:,286,1.25,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
