Valori nutrizionali,per porzione,% RDA
Valore calorico,389 kcal 1.629 kJ,"19,5 %"
Grassi,"20,1 g","30,9 %"
Grassi saturi,"5,2 g","23,5 %"
Grassi monoinsaturi,"7,9 g","27,1 %"
Grassi polinsaturi,"5,2 g","34,4 %"
Carboidrati,"19,4 g","7,2 %"
Zuccheri,"4,9 g","9,8 %"
Proteine,"28,1 g","38,5 %"
Fibre alimentari,"3,2 g","1,1 %"
Colesterolo,"70,2 mg","233,9 %"
Sodio,"0,9 g","0,2 %"
Acqua,"246,8 g","12,3 %"
