Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","17,4 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","16,2 %"
Vitamina B3,"9,6 mg","60,3 %"
Vitamina B5,"1,8 mg","29,8 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"30,9 mg","38,7 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
