,0,1,2,3
1,Proteine(%): 21.1,,,
2,Lisina:,1450,6.87,
3,Istidina:,550,2.61,
4,Arginina:,710,3.36,
5,Acido aspartico:,1280,6.07,
6,Treonina:,750,3.55,
7,Serina:,1020,4.83,
8,Acido glutamico:,3360,15.92,
9,Prolina:,1990,9.43,
10,Glicina:,370,1.75,
11,Alanina:,590,2.8,
12,Cistina:,140,0.66,
13,Valina:,1140,5.4,
14,Metionina:,610,2.89,
15,Isoleucina:,920,4.36,
16,Leucina:,1720,8.15,
17,Tirosina:,1070,5.07,
18,Fenilalanina:,1000,4.74,
19,Triptofano:,230,1.09,
20,Indice Chimico:,99,,
21,Aminoacido limitante:,Trip.,,
