,0,1,2,3
1,Proteine(%): 33.5,,,
2,Lisina:,2460,7.34,
3,Istidina:,920,2.75,
4,Arginina:,810,2.42,
5,Acido aspartico:,2260,6.75,
6,Treonina:,1100,3.28,
7,Serina:,1860,5.55,
8,Acido glutamico:,6030,18,
9,Prolina:,3560,10.63,
10,Glicina:,700,2.09,
11,Alanina:,940,2.81,
12,Cistina:,200,0.6,
13,Valina:,1360,4.06,
14,Metionina:,1030,3.07,
15,Isoleucina:,1280,3.82,
16,Leucina:,2880,8.6,
17,Tirosina:,1750,5.22,
18,Fenilalanina:,1610,4.81,
19,Triptofano:,320,0.96,
20,Indice Chimico:,87,,
21,Aminoacido limitante:,Trip.,,
