,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
label,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b6,,,,,,,,,,,,,,,,,,,,,,,,,,,
dietary fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,
proteins,,,,,,,,,,,,,,,,,,,,,,,,,,,
total cobalamin,,,,,,,,,,,,,,,,,,,,,,,,,,,
total ascorbic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbohydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
total aneurine,,,,,,,,,,,,,,,,,,,,,,,,,,,
total vitamin e,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipid,,,,,,,,,,,,,,,,,,,,,,,,,,,
total 12-octadecadienoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,
starches,,,,,,,,,,,,,,,,,,,,,,,,,,,
total sodium,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium k,,,,,,,,,,,,,,,,,,,,,,,,,,,
total vitamin d,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,,,,,,,,,,,,,,,,,,,,,,,,,,,
total selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,
total sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,
total polyunsaturated lipids,,,,,,,,,,,,,,,,,,,,,,,,,,,
folate,,,,,,,,,,,,,,,,,,,,,,,,,,,
total cholesteryl alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,
total zinc zn,,,,,,,,,,,,,,,,,,,,,,,,,,,
total iodine i,,,,,,,,,,,,,,,,,,,,,,,,,,,
total B-carotene,,,,,,,,,,,,,,,,,,,,,,,,,,,
total calcium,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,,,,,,,,,,,,,,,,,,,,,,,,,,,
total phosphorus p,,,,,,,,,,,,,,,,,,,,,,,,,,,
