Valori nutrizionali,per porzione,% RDA
Valore calorico,753 kcal 3.153 kJ,"37,6 %"
Grassi,"36,0 g","55,3 %"
Grassi saturi,"14,2 g","64,4 %"
Grassi monoinsaturi,"15,5 g","53,6 %"
Grassi polinsaturi,"1,4 g","9,2 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"100,1 g","137,1 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"313,0 mg","1.043,3 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"313,2 g","15,7 %"
