Valori nutrizionali,per porzione,% RDA
Valore calorico,94 kcal 392 kJ,"4,7 %"
Grassi,"4,4 g","6,7 %"
Grassi saturi,"2,5 g","11,4 %"
Grassi monoinsaturi,"1,0 g","3,4 %"
Grassi polinsaturi,"0,3 g","2,0 %"
Carboidrati,"9,1 g","3,4 %"
Zuccheri,"4,4 g","8,9 %"
Proteine,"6,8 g","9,3 %"
Fibre alimentari,"3,4 g","1,1 %"
Colesterolo,"10,7 mg","35,5 %"
Sodio,"0,2 g","< 0,1 %"
Acqua,"191,1 g","9,6 %"
