Minerali,per porzione,% RDA
Calcio,"7,8 mg","0,8 %"
Rame,"< 0,1 mg","1,1 %"
Ferro,"0,3 mg","2,2 %"
Magnesio,"3,8 mg","1,3 %"
Manganese,"< 0,1 mg","0,9 %"
Fosforo,"39,6 mg","5,7 %"
Potassio,"9,2 mg","0,5 %"
Selenio,"< 0,1 mg","20,4 %"
Zinco,"0,1 mg","1,5 %"
