,0,1,2
1,Parte edibile (%):,83,
2,Acqua (g):,90.1,
3,Proteine (g):,3.4,
4,Lipidi(g):,0.7,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,2.9,
7,Amido (g):,2.3,
8,Zuccheri solubili (g):,0.4,
9,Fibra totale (g):,1.9,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,31,
14,Energia (kJ):,129,
15,Sodio (mg):,100,
16,Potassio (mg):,530,
17,Ferro (mg):,2.9,
18,Calcio (mg):,78,
19,Fosforo (mg):,62,
20,Magnesio (mg):,60,
21,Zinco (mg):,1.43,
22,Rame (mg):,0.16,
23,Selenio (µg):,1,
24,Tiamina (mg):,0.07,
25,Riboflavina (mg):,0.37,
26,Niacina (mg):,0.4,
27,Vitamina A retinolo eq. (µg):,485,
28,Vitamina C (mg):,54,
29,Vitamina E (mg):,,
