,0,1,2,3
1,Proteine(%): 7.2,,,
2,Lisina:,230,3.26,
3,Istidina:,168,2.39,
4,Arginina:,886,12.57,
5,Acido aspartico:,676,9.59,
6,Treonina:,202,2.86,
7,Serina:,351,4.98,
8,Acido glutamico:,1405,19.93,
9,Prolina:,338,4.8,
10,Glicina:,345,4.9,
11,Alanina:,316,4.48,
12,Cistina:,117,1.66,
13,Valina:,349,4.95,
14,Metionina:,133,1.89,
15,Isoleucina:,290,4.12,
16,Leucina:,488,6.92,
17,Tirosina:,231,3.27,
18,Fenilalanina:,345,4.89,
19,Triptofano:,103,1.46,
20,Indice Chimico:,56,,
21,Aminoacido limitante:,Lis.,,
