,0,1,2
1,Parte edibile (%):,49,
2,Acqua (g):,5,
3,Proteine (g):,7.2,
4,Lipidi(g):,71.8,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,7.9,
7,Amido (g):,3.3,
8,Zuccheri solubili (g):,4.3,
9,Fibra totale (g):,9.4,
10,Fibra solubile (g):,0.36,
11,Fibra insolubile (g):,9.07,
12,Alcol (g):,0,
13,Energia (kcal):,705,
14,Energia (kJ):,2948,
15,Sodio (mg):,tr,
16,Potassio (mg):,603,
17,Ferro (mg):,2.4,
18,Calcio (mg):,61,
19,Fosforo (mg):,300,
20,Magnesio (mg):,121,
21,Zinco (mg):,5,
22,Rame (mg):,1,
23,Selenio (µg):,6,
24,Tiamina (mg):,0.71,
25,Riboflavina (mg):,0.15,
26,Niacina (mg):,1.4,
27,Vitamina A retinolo eq. (µg):,8,
28,Vitamina C (mg):,1,
29,Vitamina E (mg):,4,
