,0,1,2,3
1,Proteine(%): 18,,,
2,Lisina:,1595,8.86,
3,Istidina:,488,2.71,
4,Arginina:,1202,6.68,
5,Acido aspartico:,1737,9.65,
6,Treonina:,842,4.68,
7,Serina:,790,4.39,
8,Acido glutamico:,2702,15.01,
9,Prolina:,814,4.52,
10,Glicina:,889,4.94,
11,Alanina:,1120,6.22,
12,Cistina:,220,1.22,
13,Valina:,914,5.08,
14,Metionina:,533,2.96,
15,Isoleucina:,907,5.04,
16,Leucina:,1438,7.99,
17,Tirosina:,599,3.33,
18,Fenilalanina:,720,4,
19,Triptofano:,180,1,
20,Indice Chimico:,91,,
21,Aminoacido limitante:,Trip.,,
