Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (125 g),Yogurt alla frutta,Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"3,9 g","4,88 g","+34%2,91 g","+45%2,69 g","-67%11,9 g","-67%11,9 g","-75%15,4 g"
- Acidi Grassi saturi,"2,5 g","3,12 g","+38%1,81 g","+43%1,75 g","-68%7,9 g","-68%7,9 g","-74%9,61 g"
Carboidrati,14 g,"17,5 g","+9%12,9 g","+14%12,3 g","+96%7,16 g","+96%7,16 g","+130%6,1 g"
- Zuccheri,13 g,"16,2 g","+7%12,2 g","+14%11,4 g","+111%6,16 g","+111%6,16 g","+140%5,42 g"
Fibra alimentare,0 g,0 g,?,"-100%0,275 g","-100%0,205 g","-100%0,205 g","-100%0,133 g"
Proteine,"3,3 g","4,12 g","0%3,3 g","-15%3,88 g",-67%10 g,-67%10 g,"-58%7,89 g"
Sale,"0,09 g","0,113 g","-22%0,116 g","-20%0,113 g","-83%0,529 g","-83%0,529 g","-78%0,405 g"
Sodio,"0,035 g","0,044 g","-22%0,046 g","-20%0,044 g","-83%0,208 g","-83%0,208 g","-78%0,159 g"
"Fruits, vegetables and nuts (estimate from ingredients list)",6 %,6 %,?,?,?,?,?
Nutrition score - France,3,3,"-3%3,1","+42%2,11","-53%6,32","-53%6,32","-49%5,86"
Nutri-Score,C,C,C,C,C,C,C
