Valori nutrizionali,per porzione,% RDA
Valore calorico,59 kcal 247 kJ,"3,0 %"
Grassi,"0,2 g","0,3 %"
Grassi saturi,"0,1 g","0,6 %"
Grassi monoinsaturi,"< 0,1 g","0,2 %"
Grassi polinsaturi,"< 0,1 g","< 0,1 %"
Carboidrati,"12,6 g","4,7 %"
Zuccheri,"12,6 g","25,2 %"
Proteine,"1,9 g","2,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"2,5 mg","8,2 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"229,8 g","11,5 %"
