,0,1,2,3
1,Proteine(%): 22,,,
2,Lisina:,484,2.2,
3,Istidina:,647,2.94,
4,Arginina:,2171,9.87,
5,Acido aspartico:,2453,11.15,
6,Treonina:,565,2.57,
7,Serina:,1047,4.76,
8,Acido glutamico:,5377,24.44,
9,Prolina:,1058,4.81,
10,Glicina:,1263,5.74,
11,Alanina:,913,4.15,
12,Cistina:,290,1.32,
13,Valina:,1041,4.73,
14,Metionina:,194,0.88,
15,Isoleucina:,843,3.83,
16,Leucina:,1450,6.59,
17,Tirosina:,618,2.81,
18,Fenilalanina:,1063,4.83,
19,Triptofano:,394,1.79,
20,Indice Chimico:,38,,
21,Aminoacido limitante:,Lis.,,
