Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (30 g),Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,1 g,"0,3 g","-84%6,21 g","-91%10,7 g","-90%9,61 g"
- Acidi Grassi saturi,"0,2 g","0,06 g","-88%1,68 g","-91%2,35 g","-91%2,11 g"
Carboidrati,80 g,24 g,"+34%59,9 g","+68%47,6 g","+82%43,9 g"
- Zuccheri,2 g,"0,6 g","-70%6,57 g","-77%8,57 g","-77%8,8 g"
Fibra alimentare,7 g,"2,1 g","+49%4,71 g","+61%4,35 g","+74%4,03 g"
Proteine,7 g,"2,1 g","-26%9,47 g","-10%7,75 g","0%6,98 g"
Sale,"0,8 g","0,24 g","+9%0,732 g","+35%0,594 g","+50%0,534 g"
Sodio,"0,315 g","0,094 g","+9%0,288 g","+35%0,234 g","+50%0,21 g"
Nutrition score - France,-2,-2,"-165%3,08","-165%3,1","-152%3,88"
Nutri-Score,A,A,C,C,C
