Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (133 g),Meals,Frozen foods,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"14,4 g","19,2 g","+67%8,64 g","+40%10,3 g","+35%10,7 g","+50%9,61 g"
- Acidi Grassi saturi,"1,7 g","2,26 g","-55%3,74 g","-69%5,48 g","-28%2,35 g","-19%2,11 g"
Carboidrati,"7,8 g","10,4 g","-69%25,1 g","-73%28,4 g","-84%47,6 g","-82%43,9 g"
- Zuccheri,"5,3 g","7,05 g","+50%3,53 g","-49%10,4 g","-38%8,57 g","-40%8,8 g"
Fibra alimentare,"2,8 g","3,72 g","+22%2,3 g","+30%2,16 g","-36%4,35 g","-31%4,03 g"
Proteine,"1,6 g","2,13 g","-81%8,41 g","-79%7,65 g","-79%7,75 g","-77%6,98 g"
Sale,"1,4 g","1,86 g","+26%1,11 g","+72%0,814 g","+136%0,594 g","+162%0,534 g"
Sodio,"0,551 g","0,733 g","+26%0,437 g","+72%0,32 g","+136%0,234 g","+162%0,21 g"
"Fruits, vegetables and nuts (estimate from ingredients list)",60 %,60 %,?,?,+5%57 %,+5%57 %
Nutrition score - France,7,7,"+9%6,45","-27%9,54","+126%3,1","+80%3,88"
Nutri-Score,C,C,C,C,C,C
