Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,7 mg","61,9 %"
Vitamina B11,"0,1 mg","26,1 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","11,7 %"
Vitamina B3,"3,8 mg","24,0 %"
Vitamina B5,"0,5 mg","8,7 %"
Vitamina B6,"0,6 mg","44,2 %"
Vitamina C,"0,6 mg","0,8 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"16,2 mg","134,8 %"
Vitamina K,"0,0 mg","0,0 %"
