Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,17 g
- Acidi Grassi saturi,"11,7 g"
Carboidrati,4 g
- Zuccheri,"3,3 g"
Fibra alimentare,0 g
Proteine,12 g
Sale,"2,134 g"
Sodio,"0,84 g"
Calcio,340 mg
Nutrition score - France,21
Nutri-Score,E
