Minerali,per porzione,% RDA
Calcio,"11,5 mg","1,2 %"
Rame,"< 0,1 mg","2,1 %"
Ferro,"0,2 mg","1,6 %"
Magnesio,"5,2 mg","1,7 %"
Manganese,"< 0,1 mg","4,2 %"
Fosforo,"11,1 mg","1,6 %"
Potassio,"76,8 mg","3,8 %"
Selenio,"< 0,1 mg","0,6 %"
Zinco,"< 0,1 mg","0,3 %"
