Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,9 mg","84,8 %"
Vitamina B11,"0,4 mg","89,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","31,3 %"
Vitamina B3,"18,8 mg","117,5 %"
Vitamina B5,"2,6 mg","44,0 %"
Vitamina B6,"0,5 mg","35,5 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
