Minerali,per porzione,% RDA
Calcio,"16,4 mg","1,6 %"
Rame,"< 0,1 mg","4,1 %"
Ferro,"1,9 mg","12,8 %"
Magnesio,"21,8 mg","7,3 %"
Manganese,"0,2 mg","8,4 %"
Fosforo,"155,6 mg","22,2 %"
Potassio,"291,2 mg","14,6 %"
Selenio,"< 0,1 mg","27,6 %"
Zinco,"0,4 mg","5,7 %"
