Minerali,per porzione,% RDA
Calcio,"15,6 mg","1,6 %"
Rame,"0,3 mg","30,1 %"
Ferro,"1,2 mg","8,1 %"
Magnesio,"48,4 mg","16,1 %"
Manganese,"0,3 mg","15,0 %"
Fosforo,"124,6 mg","17,8 %"
Potassio,"942,9 mg","47,1 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"0,7 mg","9,9 %"
