,0,1,2,3
1,Proteine(%): 29.6,,,
2,Lisina:,2640,8.92,
3,Istidina:,1024,3.46,
4,Arginina:,1877,6.34,
5,Acido aspartico:,3016,10.19,
6,Treonina:,1282,4.33,
7,Serina:,1228,4.15,
8,Acido glutamico:,4567,15.43,
9,Prolina:,1255,4.24,
10,Glicina:,1222,4.13,
11,Alanina:,1788,6.04,
12,Cistina:,385,1.3,
13,Valina:,1649,5.57,
14,Metionina:,820,2.77,
15,Isoleucina:,1557,5.26,
16,Leucina:,2519,8.51,
17,Tirosina:,1036,3.5,
18,Fenilalanina:,1193,4.03,
19,Triptofano:,337,1.23,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
