,0,1,2,3
1,Proteine(%): 11.8,,,
2,Lisina:,211,1.65,
3,Istidina:,242,1.89,
4,Arginina:,409,3.2,
5,Acido aspartico:,769,6.01,
6,Treonina:,385,3.01,
7,Serina:,799,6.24,
8,Acido glutamico:,2770,21.64,
9,Prolina:,880,6.88,
10,Glicina:,297,2.32,
11,Alanina:,1307,10.21,
12,Cistina:,211,1.65,
13,Valina:,637,4.98,
14,Metionina:,325,2.54,
15,Isoleucina:,496,3.88,
16,Leucina:,1507,11.77,
17,Tirosina:,421,3.29,
18,Fenilalanina:,644,5.03,
19,Triptofano:,158,1.23,
20,Indice Chimico:,28,,
21,Aminoacido limitante:,Lis.,,
