,0,1,2,3
1,Proteine(%): 6.7,,,
2,Lisina:,257,3.84,
3,Istidina:,165,2.47,
4,Arginina:,543,8.1,
5,Acido aspartico:,657,9.8,
6,Treonina:,246,3.67,
7,Serina:,348,5.19,
8,Acido glutamico:,1354,20.21,
9,Prolina:,333,4.97,
10,Glicina:,310,4.63,
11,Alanina:,401,5.99,
12,Cistina:,108,1.61,
13,Valina:,438,6.53,
14,Metionina:,149,2.23,
15,Isoleucina:,306,4.57,
16,Leucina:,590,8.81,
17,Tirosina:,228,3.4,
18,Fenilalanina:,360,5.37,
19,Triptofano:,84,1.3,
20,Indice Chimico:,66,,
21,Aminoacido limitante:,Lis.,,
