Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,5 mg","44,7 %"
Vitamina B11,"< 0,1 mg","24,1 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","12,3 %"
Vitamina B3,"3,7 mg","23,2 %"
Vitamina B5,"2,8 mg","47,0 %"
Vitamina B6,"0,5 mg","37,4 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,2 mg","9,8 %"
Vitamina K,"0,0 mg","0,0 %"
