,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
name,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b6,,0.0,5.15429936729771e+23,2591538382372.3105,419.8809539349631,25933087387313.785,3.8476470487988145e+35,3235282050238454.5,5.903476653656671e+46,954564089.1074991,470.19695499169956,711.4940680943399,2829.828086918231,1105726.1735758565,551.5130702910596,7.451793885815653,1.495340575514819e+45,1.443904899163532e+57,3.8572398004335546e+46,2.721790598527558e+45,457371.44044118904,3.0414908688350854e+35,3.028953111109515e+30,14193.197915039258,2.700413351086159e+58,1.7320966635459527e+23,5.838470934538384e+23
total proteins,,5.15429936729771e+23,0.0,737.5742746731293,7.047772379113023e+25,2936.745565983991,5562720489.924759,18.494053467934247,1.2179051712478418e+37,661464.1804008664,2661250410763161.0,33609788170855.08,2.055922732027529e+16,1454251973447.2842,1341556376135.7053,7.416541034457386e+16,1.4188095916125603e+34,6.65729440991941e+57,3.0598075190544875e+30,8.766958019175255e+26,170218066.3534145,25583537328.3232,4.537917366378736,2.128085764598266e+29,2.3866205239184363e+57,6035.257738595032,16.65290592307765
total saturated triglycerides,,2591538382372.3105,737.5742746731293,0.0,1.4059940695746716e+16,1.0457933281155996,1.0156942848695821e+18,3.2813739142420633,8.453364148036736e+37,19.213676408075777,5087826.537863681,1010035.7634856494,68818210.94696979,22168.19591278389,241472.14960030504,4810171045.931326,2.050784755857392e+36,6.754992081731195e+54,4.384897654277884e+32,4.092210285527696e+31,658.8649694033846,6251985793442615.0,32942.12762995681,5.54158592988482e+18,1.0956413084419658e+55,2425396612.6344833,6742958.025303146
total vitamin b2,,419.8809539349631,7.047772379113023e+25,1.4059940695746716e+16,0.0,1.5483434978400826e+16,1.9396719210338393e+37,2.0181194720899334e+17,1.6487023865291913e+47,3916472151124979.0,722178.9878202737,7511376383.955764,1886535025.2905443,231237035292.82028,26442772.601867065,5.755926293520848,4.1581072474712855e+45,5.108448624657658e+56,1.0756210607489548e+47,7.575606155651269e+45,2835165674.2971244,8.190901042507909e+35,1.7790970398611527e+32,10.164855827294582,9.115186683861358e+57,9.885270394476773e+25,6.6719523144495135e+25
monounsaturated fats,,25933087387313.785,2936.745565983991,1.0457933281155996,1.5483434978400826e+16,0.0,6.897296697399863e+18,3.3992408689744447,5.649097917097868e+36,7.555163584877658,908244.7972138869,74236.81726606935,12088557.588611634,3778.5246010607193,19328.02608948361,15741337213.272203,9.728305271562137e+35,2.0450285910710887e+55,3.3481175566850516e+31,1.9531044540674512e+31,385.9103995185372,7645580374539463.0,26737.798576041576,6.4046443476276e+18,4.0437913806477774e+54,3134059940.591385,18774339.80831359
cholesterol,,3.8476470487988145e+35,5562720489.924759,1.0156942848695821e+18,1.9396719210338393e+37,6.897296697399863e+18,0.0,198168038712759.9,7.579243096253394e+22,7.110642724921744e+18,7.007784666586318e+30,2.468868332777333e+26,2.796053827249778e+31,2.4209155577445374e+26,7.145890086553066e+26,5.839167914173593e+24,64876101622006.625,2.505699226338264e+51,98892439853.2471,1858850354.0667408,3.369878562709247e+18,1.8864189579783373,153772.14771390078,1.0975690692125957e+41,3.824041972633697e+47,32.86070568186261,6439.524232449214
selenium se,,3235282050238454.5,18.494053467934247,3.2813739142420633,2.0181194720899334e+17,3.3992408689744447,198168038712759.9,0.0,1.205396342803886e+37,70.02970913155929,267096437.8884757,27647747.118937068,3779990203.1845036,522400.3538888916,6151839.776039872,149925648316.75333,3.962790602645683e+35,6.306501771672237e+55,1.2177459388700324e+33,4.217493484271712e+29,10789.89417962983,58583202423082.516,242.07140478706262,1.2257803034302924e+20,1.2892432708442857e+56,12296932.513620758,2383.968734051352
total sodium na,,5.903476653656671e+46,1.2179051712478418e+37,8.453364148036736e+37,1.6487023865291913e+47,5.649097917097868e+36,7.579243096253394e+22,1.205396342803886e+37,0.0,7.834174930841212e+39,8.892338419987831e+45,4.811034940502802e+43,9.734972447160856e+48,9.94792693392874e+44,3.691679542168223e+42,3.383582476149426e+32,334.86587115608916,1.1483628166393146e+26,91337615.29859252,29883631.596440375,3.6424459816949684e+33,1.5982919881769622e+25,2.5262879111116823e+31,7.192056328053747e+49,378867364085.12103,3.3275757904968074e+25,1.125529054800731e+30
total vitamin b3,,954564089.1074991,661464.1804008664,19.213676408075777,3916472151124979.0,7.555163584877658,7.110642724921744e+18,70.02970913155929,7.834174930841212e+39,0.0,2605.2248590868767,584.48269776145,4282.062702950035,7.600351129333048,317.66428096176713,3902097662.3507195,1.3418080446709243e+39,2.190942435917113e+54,5.926989261799678e+33,3.7385154331222656e+33,2.7622861248106556,6.513534922901393e+16,441737557.36869216,1.2997818186856177e+18,3.0744719373815965e+55,11822918877.71782,22492722.927968096
