,0,1,2,3
1,Proteine(%): 19.8,,,
2,Lisina:,1570,7.92,
3,Istidina:,900,4.54,
4,Arginina:,1160,5.85,
5,Acido aspartico:,1770,8.93,
6,Treonina:,840,4.24,
7,Serina:,690,3.48,
8,Acido glutamico:,2830,14.27,
9,Prolina:,890,4.49,
10,Glicina:,1040,5.24,
11,Alanina:,900,4.54,
12,Cistina:,200,1.01,
13,Valina:,960,4.84,
14,Metionina:,480,2.42,
15,Isoleucina:,910,4.59,
16,Leucina:,1520,7.67,
17,Tirosina:,670,3.38,
18,Fenilalanina:,820,4.14,
19,Triptofano:,150,0.76,
20,Indice Chimico:,69,,
21,Aminoacido limitante:,Trip.,,
