,0,1,2,3
1,Proteine(%): 10.2,,,
2,Lisina:,714,7,
3,Istidina:,303,2.97,
4,Arginina:,606,5.94,
5,Acido aspartico:,1340,13.14,
6,Treonina:,428,4.2,
7,Serina:,641,6.28,
8,Acido glutamico:,1663,16.3,
9,Prolina:,441,4.32,
10,Glicina:,378,3.71,
11,Alanina:,411,4.03,
12,Cistina:,118,1.16,
13,Valina:,616,6.04,
14,Metionina:,120,1.18,
15,Isoleucina:,556,5.45,
16,Leucina:,885,8.68,
17,Tirosina:,362,3.55,
18,Fenilalanina:,601,5.89,
19,Triptofano:,113,1.11,
20,Indice Chimico:,93,,
21,Aminoacido limitante:,Solf.,,
