,0,1,2,3
1,Proteine(%): 28.3,,,
2,Lisina:,2416,8.55,
3,Istidina:,1068,3.78,
4,Arginina:,1701,6.02,
5,Acido aspartico:,2736,9.68,
6,Treonina:,1283,4.54,
7,Serina:,1122,3.97,
8,Acido glutamico:,4312,15.26,
9,Prolina:,1297,4.59,
10,Glicina:,1455,5.15,
11,Alanina:,1662,5.88,
12,Cistina:,294,1.04,
13,Valina:,1585,5.61,
14,Metionina:,777,2.75,
15,Isoleucina:,1385,4.9,
16,Leucina:,2326,8.23,
17,Tirosina:,1048,3.71,
18,Fenilalanina:,1156,4.04,
19,Triptofano:,314,1.11,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
