,0,1,2,3
1,Proteine(%): 17.4,,,
2,Lisina:,1547,8.89,
3,Istidina:,498,2.86,
4,Arginina:,1206,6.93,
5,Acido aspartico:,1716,9.86,
6,Treonina:,839,4.82,
7,Serina:,788,4.53,
8,Acido glutamico:,2546,14.63,
9,Prolina:,731,4.2,
10,Glicina:,907,5.21,
11,Alanina:,1075,6.18,
12,Cistina:,204,1.17,
13,Valina:,893,5.13,
14,Metionina:,517,2.97,
15,Isoleucina:,870,5,
16,Leucina:,1375,7.9,
17,Tirosina:,567,3.26,
18,Fenilalanina:,682,3.92,
19,Triptofano:,200,1.15,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
