Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,1 mg","97,4 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","105,6 %"
Vitamina B2,"0,9 mg","67,3 %"
Vitamina B3,"9,5 mg","59,6 %"
Vitamina B5,"3,5 mg","58,5 %"
Vitamina B6,"1,2 mg","87,3 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"< 0,1 mg","< 0,1 %"
Vitamina E,"0,3 mg","2,6 %"
Vitamina K,"0,0 mg","0,0 %"
