,label,vitamin b2,vitamin b6,dietary fiber,proteins,total cobalamin,total ascorbic acid,carbohydrate,total aneurine,total vitamin e,lipid,total 12-octadecadienoic acid,starches,total sodium,potassium k,total vitamin d,water,total selenium,total sugars,total polyunsaturated lipids,folate,total cholesteryl alcohol,total zinc zn,total iodine i,total B-carotene,total calcium,vitamin a,total phosphorus p
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,0.0,2.189019606812891,42752006.55114731,8.971213493027118e+16,25.466353474295037,153.03570269042524,1.8765333519292077e+17,108.36589479139778,10.752098616175635,31382989699669.023,17.945488882575397,70050900.03088684,8.302473369099376e+48,4.326544891279973e+47,5.135072113727886,7.519856441437493e+35,9433373.772379361,16952.366282980773,1776.9575287400592,3.3599431303369998e+22,1.7258926109140646e+22,90813.62126505717,858747220442899.5,2.009393215571014e+35,8.942870306876509e+23,8.256519382380374e+38,4.195505951671718e+43
vitamin b6,,2.189019606812891,0.0,39656585.82069931,5.155379679391586e+16,29.14937555183253,116.13349628801151,1.1418389950293645e+17,111.26353601152358,10.01047349705555,15634456579125.592,21.747567833289473,52232426.97947208,2.649603361928908e+48,1.5930958759546315e+47,5.297241420848295,3.974940775925086e+35,7739614.651575131,15228.678810884547,1429.46963793615,1.5624450031131308e+22,6.64642266157997e+21,130817.1419923689,470068203995980.9,8.325045202629212e+34,3.406526313575943e+23,4.313751380014779e+38,1.3384343028452429e+43
dietary fiber,,42752006.55114731,39656585.82069931,0.0,88960555.20353794,1961.0044736620312,2.4846818408868745,67065025894.44014,12189525925.32353,5898.935387855763,1639197.6374501432,312.3987257068371,1155.7986140133976,2.3228966822475627e+48,6.3242186005515376e+47,37486.3917755944,2.5430542660502003e+33,14431.608783378348,22.714464726180392,13.061821969083011,4.921560407517631e+19,8.157236701683221e+16,64.29293044181287,40337162343.91411,1.2461298698839873e+32,2.1123439567008233e+21,8.836887339603062e+36,2.3449172056191263e+41
proteins,,8.971213493027118e+16,5.155379679391586e+16,88960555.20353794,0.0,36994602823452.484,20496.124370597096,135.51055929770217,6.342915475331649e+17,43875204507290.99,2.1944180976590175,21395354843.735348,4.204463526519768,2.2651384342576006e+47,6.9666943187391764e+47,193166167167777.56,9.936971863413214e+29,2.121405204013244,130.14503487759143,6376660738.320194,713668515273.3232,9736873.284283325,212792658742.03165,12433.360177301698,3.465397536436053e+26,56199560453470.75,7.2144764926276e+32,4.927240554074697e+36
total cobalamin,,25.466353474295037,29.14937555183253,1961.0044736620312,36994602823452.484,0.0,33.469655009320455,1324485219899144.0,331.34578624543695,2.1696214576804533,28751018415.664104,2.3567917643310414,871492.8016368992,6.374192430004283e+49,3.255922577035354e+48,3.104965932373397,7.65738927668974e+34,3874483.867231307,2064.3046795571913,26.705319887684748,1.0029104926765607e+22,4.162391120618382e+20,15.184157188814645,37059804576511.68,3.5019448478870067e+34,4.126741492432926e+23,4.206618973514834e+38,3.9416757228958504e+43
total ascorbic acid,,153.03570269042524,116.13349628801151,2.4846818408868745,20496.124370597096,33.469655009320455,0.0,5609876.526608372,350.13641794416264,32.90266653194063,2111.0736782062063,16.288937926254956,157.2348425419989,5.787496303556256e+46,5.999848995651774e+45,44.07463640475874,6.20498017007223e+29,812.2801720948823,8.175701776900246,4.961438080921091,4154133745291979.5,980792782210.9484,10.433294652807675,194849793.14715093,2.51838007707273e+28,9.72166498237981e+16,5.885172474750243e+32,3.9776166057799463e+37
carbohydrate,,1.8765333519292077e+17,1.1418389950293645e+17,67065025894.44014,135.51055929770217,1324485219899144.0,5609876.526608372,0.0,3.055934604665032e+17,2590655797674784.5,137.48095165502238,589935911984.2115,226.04613209893745,7.818219756275264e+41,6.3315496840606074e+41,4921454046085461.0,5.798032802489821e+20,75.12526500586156,31991.596164182523,1717166213950.4033,160498.85861446775,383.75256122830234,25341814367820.38,9.144070079091797,1.5765412652540006e+19,2062957.5812511703,4.0375193286711555e+22,1.117285214098029e+28
total aneurine,,108.36589479139778,111.26353601152358,12189525925.32353,6.342915475331649e+17,331.34578624543695,350.13641794416264,3.055934604665032e+17,0.0,138.0733281404822,128963948876770.23,147.91178193850448,213145854.362789,7.546001156668737e+46,4.884803048855178e+45,93.66387705522803,7.284021924049173e+34,17468612.435969584,45540.001008670384,59187.86983077375,1.2060985469414138e+22,6.74596438932354e+21,99388707.87404133,915861475498575.6,1.97917205777891e+34,2.760470237598555e+23,3.8926052830858e+37,1.845033895013931e+42
total vitamin e,,10.752098616175635,10.01047349705555,5898.935387855763,43875204507290.99,2.1696214576804533,32.90266653194063,2590655797674784.5,138.0733281404822,0.0,46151165605.96672,2.6322732649704217,1337145.4839764733,3.385656739538751e+51,1.9692306115077067e+50,2.558364914694742,7.779149196506405e+36,2912051.088700321,1590.376402784009,31.82880218711014,6.55653326153842e+22,1.3576372615450253e+21,32.917006961806536,120503456251964.06,1.0465715124324639e+36,2.626627663956575e+24,2.9669298736514546e+40,2.3217549953150682e+45
