Valori nutrizionali,per porzione,% RDA
Valore calorico,29 kcal 123 kJ,"1,5 %"
Grassi,"0,9 g","1,4 %"
Grassi saturi,"0,0 g","0,0 %"
Grassi monoinsaturi,"0,0 g","0,0 %"
Grassi polinsaturi,"0,0 g","0,0 %"
Carboidrati,"4,3 g","1,6 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"2,7 g","3,6 %"
Fibre alimentari,"3,9 g","1,3 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"123,7 g","6,2 %"
