Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","30,1 %"
Vitamina B11,"0,1 mg","35,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","13,0 %"
Vitamina B3,"1,3 mg","7,8 %"
Vitamina B5,"0,4 mg","6,8 %"
Vitamina B6,"0,2 mg","16,3 %"
Vitamina C,"3,2 mg","4,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
